Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry	0.17	6,684 K	78,252 K	88		
System Idle Process	67.08	60 K	8 K	0		
System	1.41	200 K	140 K	4		
 Interrupts	3.11	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,144 K	1,160 K	328		
 Memory Compression		72 K	188 K	1328		
csrss.exe	< 0.01	1,700 K	5,220 K	416		
wininit.exe		1,328 K	6,700 K	492		
 services.exe	0.11	4,780 K	9,540 K	604		
  svchost.exe		920 K	3,864 K	736	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.13	12,072 K	28,712 K	820	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		2,024 K	8,312 K	4520	COM Surrogate	Microsoft Corporation
   StartMenuExperienceHost.exe		23,136 K	73,712 K	4724		
   RuntimeBroker.exe		5,964 K	26,820 K	4960	Runtime Broker	Microsoft Corporation
   SearchUI.exe	0.29	131,808 K	209,424 K	1100	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		19,440 K	53,536 K	4180	Runtime Broker	Microsoft Corporation
   SkypeApp.exe	Suspended	12,560 K	36,592 K	2060	SkypeApp	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,976 K	9,848 K	5140	Microsoft Skype	Microsoft Corporation
   ApplicationFrameHost.exe		15,444 K	36,608 K	5148	Application Frame Host	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	20,396 K	58,856 K	5188	Microsoft Edge	Microsoft Corporation
   YourPhone.exe	Suspended	11,764 K	28,600 K	5296		
   browser_broker.exe		1,568 K	8,648 K	5428	Browser_Broker	Microsoft Corporation
   RuntimeBroker.exe		1,500 K	7,272 K	5692	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	3,836 K	13,232 K	5792	Microsoft Edge Web Platform	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	5,680 K	25,108 K	5724	Microsoft Edge Content Process	Microsoft Corporation
   RuntimeBroker.exe		3,616 K	16,648 K	260	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,512 K	15,488 K	3516	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		3,844 K	15,612 K	932	Runtime Broker	Microsoft Corporation
   WinStore.App.exe	Suspended	14,960 K	320 K	3912	Store	Microsoft Corporation
   RuntimeBroker.exe		4,092 K	11,624 K	4672	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe		9,660 K	41,744 K	6912	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		2,468 K	16,308 K	6528	Runtime Broker	Microsoft Corporation
   dllhost.exe		4,732 K	12,688 K	6236	COM Surrogate	Microsoft Corporation
   TiWorker.exe		28,852 K	38,988 K	7748		
   SystemSettings.exe	Suspended	18,960 K	624 K	3352	Settings	Microsoft Corporation
   StartMenuExperienceHost.exe	0.11	20,608 K	70,132 K	9348		
   RuntimeBroker.exe	0.28	5,040 K	28,956 K	704		
   SearchUI.exe	0.06	77,156 K	141,912 K	10244		
   RuntimeBroker.exe		24,316 K	42,996 K	10460		
   dllhost.exe		1,868 K	8,240 K	8140		
   ApplicationFrameHost.exe		6,972 K	25,672 K	7560		
   MicrosoftEdge.exe	Suspended	22,420 K	64,120 K	10780		
   browser_broker.exe		1,932 K	10,488 K	7764		
   Microsoft.Photos.exe	Suspended	26,644 K	76 K	6264		
   RuntimeBroker.exe		2,636 K	13,336 K	4840		
    MicrosoftEdgeSH.exe	Suspended	3,828 K	13,316 K	1644		
   MicrosoftEdgeCP.exe	Suspended	5,688 K	25,260 K	9012		
   RuntimeBroker.exe	< 0.01	6,840 K	25,944 K	2088		
   RuntimeBroker.exe		2,988 K	14,876 K	9736		
   dllhost.exe		4,920 K	14,052 K	8396		
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		8,760 K	37,964 K	8816	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
   RuntimeBroker.exe		1,200 K	5,900 K	10116	Runtime Broker	Microsoft Corporation
   smartscreen.exe		7,712 K	21,856 K	7556	Windows Defender SmartScreen	Microsoft Corporation
